drug_name,condition,review,cleaned_review
Methadone,Pain,Very effective for pain but leaves me feeling foggy,very effective for pain but leaves me feeling foggy
Methadone,Pain,Relieves my pain but I feel drowsy,relieves my pain but i feel drowsy
Methotrexate,Arthritis,Works well for arthritis but causes fatigue,works well for arthritis but causes fatigue
Methotrexate,Rheumatoid Arthritis,Reduces my inflammation but Ive had mild nausea,reduces my inflammation but ive had mild nausea
Methotrexate,Arthritis,Relieves my arthritis pain but causes fatigue and nausea,relieves my arthritis pain but causes fatigue and nausea
Methotrexate,Rheumatoid Arthritis,Effective for controlling arthritis symptoms but causes fatigue,effective for controlling arthritis symptoms but causes fatigue
Methotrexate,Rheumatoid Arthritis,Effective for arthritis but causes some nausea and fatigue,effective for arthritis but causes some nausea and fatigue
Methotrexate,Rheumatoid Arthritis,Helps with arthritis but I feel tired and nauseous after taking it,helps with arthritis but i feel tired and nauseous after taking it
Methotrexate,Autoimmune Disorder,Helps manage autoimmune symptoms but I feel nauseous sometimes,helps manage autoimmune symptoms but i feel nauseous sometimes
Methotrexate,Rheumatoid Arthritis,Reduces inflammation effectively but gives occasional fatigue,reduces inflammation effectively but gives occasional fatigue
Methotrexate,Rheumatoid Arthritis,Effective for RA but causes some fatigue and nausea,effective for ra but causes some fatigue and nausea
Methotrexate,Rheumatoid Arthritis,Helped with my joint pain but I feel nauseous weekly,helped with my joint pain but i feel nauseous weekly
Methotrexate,Rheumatoid Arthritis,Reduced my joint pain but I feel tired after taking it,reduced my joint pain but i feel tired after taking it
Methotrexate,Rheumatoid Arthritis,Controls my RA symptoms but Ive had mild nausea,controls my ra symptoms but ive had mild nausea
Methotrexate,Rheumatoid Arthritis,Helps with arthritis pain but causes some stomach discomfort,helps with arthritis pain but causes some stomach discomfort
Methotrexate,Cancer (Various),Effective for my cancer treatment but it made me feel very fatigued and nauseous at times,effective for my cancer treatment but it made me feel very fatigued and nauseous at times
Methotrexate,Arthritis,Relieves arthritis pain but can cause nausea,relieves arthritis pain but can cause nausea
Methotrexate,Arthritis,Relieves arthritis pain but can cause nausea,relieves arthritis pain but can cause nausea
Methotrexate,Rheumatoid Arthritis,Reduced joint pain significantly but I experience mild nausea,reduced joint pain significantly but i experience mild nausea
Methylphenidate,ADHD,Keeps me focused but causes some anxiety,keeps me focused but causes some anxiety
Methylphenidate,ADHD,Helps with focus but I occasionally feel anxious,helps with focus but i occasionally feel anxious
Methylphenidate,ADHD,Helps with focus but sometimes makes me feel a bit anxious,helps with focus but sometimes makes me feel a bit anxious
Methylprednisolone,Inflammation,Reduces inflammation fast but gives me trouble sleeping,reduces inflammation fast but gives me trouble sleeping
Methylprednisolone,Allergies,Helps with allergy symptoms but it can cause mood swings and irritability,helps with allergy symptoms but it can cause mood swings and irritability
Methylprednisolone,Inflammation,Helps with inflammation but caused some stomach upset,helps with inflammation but caused some stomach upset
Methylprednisolone,Inflammation,Helps reduce inflammation but can cause insomnia,helps reduce inflammation but can cause insomnia
Methylprednisolone,Inflammation,Works well for inflammation but makes me feel a bit jittery,works well for inflammation but makes me feel a bit jittery
Metoclopramide,Nausea and Vomiting,Works well for nausea but causes drowsiness and fatigue,works well for nausea but causes drowsiness and fatigue
Metoclopramide,Nausea,Stops my nausea but I feel restless sometimes,stops my nausea but i feel restless sometimes
Metoclopramide,Nausea,Works well for nausea but gives me a bit of drowsiness,works well for nausea but gives me a bit of drowsiness
Metoprolol,High Blood Pressure,Great for lowering blood pressure but makes me tired,great for lowering blood pressure but makes me tired
Metoprolol,High Blood Pressure,Keeps my BP steady but I feel tired after taking it,keeps my bp steady but i feel tired after taking it
Metoprolol,High Blood Pressure,Helps lower my blood pressure effectively but I felt a bit lightheaded at first,helps lower my blood pressure effectively but i felt a bit lightheaded at first
Metoprolol,High Blood Pressure,Good for blood pressure but I feel tired more often,good for blood pressure but i feel tired more often
Metoprolol,High Blood Pressure,Helps with my blood pressure but I sometimes feel lightheaded,helps with my blood pressure but i sometimes feel lightheaded
Metoprolol,High Blood Pressure,Helps control my blood pressure but it makes me feel a bit tired,helps control my blood pressure but it makes me feel a bit tired
Metoprolol,High Blood Pressure,Helps with blood pressure but makes me feel tired,helps with blood pressure but makes me feel tired
Metoprolol,High Blood Pressure,Good for blood pressure but sometimes makes me feel lightheaded,good for blood pressure but sometimes makes me feel lightheaded
Metoprolol,High Blood Pressure,Lowers my blood pressure but makes me feel tired,lowers my blood pressure but makes me feel tired
Metoprolol,High Blood Pressure,Lowers my BP but I feel tired more often,lowers my bp but i feel tired more often
Metoprolol,High Blood Pressure,Keeps my blood pressure stable but it makes me feel tired at times,keeps my blood pressure stable but it makes me feel tired at times
Metoprolol,Heart Disease,Lowers my heart rate effectively but I sometimes feel fatigued,lowers my heart rate effectively but i sometimes feel fatigued
Metoprolol,High Blood Pressure,Helps control my blood pressure but leaves me feeling sluggish,helps control my blood pressure but leaves me feeling sluggish
Metoprolol,High Blood Pressure,Keeps my blood pressure in check but it can make me feel tired,keeps my blood pressure in check but it can make me feel tired
Metoprolol,High Blood Pressure,Helps with blood pressure but sometimes makes me feel lightheaded,helps with blood pressure but sometimes makes me feel lightheaded
Metoprolol,High Blood Pressure,Keeps my blood pressure stable but I sometimes feel fatigued,keeps my blood pressure stable but i sometimes feel fatigued
Metoprolol,High Blood Pressure,Controls blood pressure well but leaves me feeling a bit tired,controls blood pressure well but leaves me feeling a bit tired
Metoprolol,High Blood Pressure,Helps with my blood pressure but makes me feel sluggish,helps with my blood pressure but makes me feel sluggish
Metronidazole,Bacterial Infections,Cleared my infection effectively but left a metallic taste,cleared my infection effectively but left a metallic taste
Metronidazole,Bacterial Infection,Cleared up my infection but caused some nausea and metallic taste,cleared up my infection but caused some nausea and metallic taste
Metronidazole,Bacterial Infection,Cleared up my infection quickly but caused some nausea,cleared up my infection quickly but caused some nausea
Minoxidil,Hair Loss,Hair regrowth is noticeable but my scalp itches a bit,hair regrowth is noticeable but my scalp itches a bit
Miralax,Constipation,Effective for constipation but causes bloating,effective for constipation but causes bloating
Miralax,Constipation,Gentle and effective for constipation relief Highly recommend,gentle and effective for constipation relief highly recommend
Mirapex,Parkinson’s Disease,Helps with my Parkinsons symptoms but I occasionally feel a bit dizzy,helps with my parkinsons symptoms but i occasionally feel a bit dizzy
Mirena,Birth Control,Works well for birth control but I had some spotting and mood swings,works well for birth control but i had some spotting and mood swings
Mirtazapine,Depression,Works well for depression but causes weight gain,works well for depression but causes weight gain
Mirtazapine,Depression,Improved sleep and mood but increased appetite,improved sleep and mood but increased appetite
Mirtazapine,Depression,Helps with depression but I sometimes feel a bit sleepy,helps with depression but i sometimes feel a bit sleepy
Mirtazapine,Depression/Insomnia,Helps me sleep and improves mood but I gained weight,helps me sleep and improves mood but i gained weight
Mirtazapine,Depression,Good for my depression but causes significant weight gain,good for my depression but causes significant weight gain
Mirtazapine,Insomnia,Helps me sleep well but Ive gained some weight,helps me sleep well but ive gained some weight
Mirtazapine,Depression,Helps with my depression but Ive gained weight,helps with my depression but ive gained weight
Mirtazapine,Depression,Great for depression and sleep but causes significant weight gain,great for depression and sleep but causes significant weight gain
Mirtazapine,Depression,Good for my depression but caused an increase in my appetite and weight gain,good for my depression but caused an increase in my appetite and weight gain
Mirtazapine,Depression,Effective for depression but causes increased appetite and weight gain,effective for depression but causes increased appetite and weight gain
Mirtazapine,Depression/Insomnia,Improved my sleep but I feel hungover in the mornings,improved my sleep but i feel hungover in the mornings
Mirtazapine,Depression,Helps with my depression but it causes significant weight gain,helps with my depression but it causes significant weight gain
Mirtazapine,Depression,Helped with my depression and sleep but Ive gained weight,helped with my depression and sleep but ive gained weight
Mometasone,Nasal Congestion,Cleared up my congestion quickly but my nose feels dry,cleared up my congestion quickly but my nose feels dry
Montelukast,Asthma/Allergies,Helps with breathing but sometimes gives me weird dreams,helps with breathing but sometimes gives me weird dreams
Montelukast,Asthma,Good for asthma control but gives me some odd dreams,good for asthma control but gives me some odd dreams
Montelukast,Allergies,Works well for my allergies but Ive had vivid dreams,works well for my allergies but ive had vivid dreams
Montelukast,Allergies/Asthma,Improved breathing but gave me vivid dreams,improved breathing but gave me vivid dreams
Montelukast,Asthma,Controls my asthma but I sometimes feel restless,controls my asthma but i sometimes feel restless
Montelukast,Asthma,Improved my breathing but sometimes disturbs my sleep,improved my breathing but sometimes disturbs my sleep
Montelukast,Asthma,Helps with my asthma but causes some irritation in my throat,helps with my asthma but causes some irritation in my throat
Montelukast,Allergies,Helps with allergy symptoms but Ive had some trouble sleeping since starting it,helps with allergy symptoms but ive had some trouble sleeping since starting it
Montelukast,Allergies,Helps my allergies but Ive had vivid dreams,helps my allergies but ive had vivid dreams
Montelukast,Asthma,Reduces my asthma symptoms but Ive had vivid dreams,reduces my asthma symptoms but ive had vivid dreams
Montelukast,Asthma,Very effective for controlling asthma but occasionally gives me headaches,very effective for controlling asthma but occasionally gives me headaches
Montelukast,Asthma,Great for managing asthma but can cause some dizziness,great for managing asthma but can cause some dizziness
Montelukast,Allergies,Great for allergies but sometimes gives me a dry throat,great for allergies but sometimes gives me a dry throat
Montelukast,Asthma,Keeps my asthma under control but causes mild dizziness,keeps my asthma under control but causes mild dizziness
Montelukast,Asthma,Great for asthma relief but I feel a bit drowsy after taking it,great for asthma relief but i feel a bit drowsy after taking it
Montelukast,Asthma,Works well to control asthma but causes mild drowsiness,works well to control asthma but causes mild drowsiness
Motrin,Pain,Good for reducing inflammation but I feel nauseous when I take it on an empty stomach,good for reducing inflammation but i feel nauseous when i take it on an empty stomach
Mupirocin,Skin Infection,Cleared up my infection but caused some irritation at the site of application,cleared up my infection but caused some irritation at the site of application
Naltrexone,Alcohol Dependence,Has helped with alcohol cravings though it causes mild stomach upset,has helped with alcohol cravings though it causes mild stomach upset
Namenda,Alzheimer’s Disease,Improved my dads focus slightly but the results took time,improved my dads focus slightly but the results took time
Naproxen,Pain Relief,Great for pain but I need to take it with food,great for pain but i need to take it with food
Naproxen,Pain/Inflammation,Works well for pain but upsets my stomach sometimes,works well for pain but upsets my stomach sometimes
Naproxen,Pain/Inflammation,Helps with inflammation but leaves me with stomach discomfort,helps with inflammation but leaves me with stomach discomfort
Naproxen,Pain,Good for pain relief but it causes some stomach irritation,good for pain relief but it causes some stomach irritation
Naproxen,Pain,Good for pain relief but it sometimes causes stomach discomfort,good for pain relief but it sometimes causes stomach discomfort
Naproxen,Pain Relief,Effective for pain but it upsets my stomach after prolonged use,effective for pain but it upsets my stomach after prolonged use
Naproxen,Inflammation,Reduces my swelling but Ive had stomach upset,reduces my swelling but ive had stomach upset
Naproxen,Pain,Relieves pain effectively but can cause stomach irritation,relieves pain effectively but can cause stomach irritation
Naproxen,Pain Relief,Helps with pain but I occasionally feel bloated after taking it,helps with pain but i occasionally feel bloated after taking it
Naproxen,Pain,Relieves pain effectively but sometimes causes stomach discomfort,relieves pain effectively but sometimes causes stomach discomfort
Naproxen,Pain Relief,Effective for pain but it can upset my stomach,effective for pain but it can upset my stomach
Naproxen,Pain/Inflammation,Great for pain relief but I get slight heartburn,great for pain relief but i get slight heartburn
Naproxen,Pain Relief,Great for pain relief but causes mild stomach discomfort,great for pain relief but causes mild stomach discomfort
Naproxen,Inflammation,Reduces pain but gives me stomach issues,reduces pain but gives me stomach issues
Nasonex,Allergies,Eases my nasal congestion effectively but I feel dryness,eases my nasal congestion effectively but i feel dryness
Nasonex,Allergies,Clears up nasal congestion quickly without side effects,clears up nasal congestion quickly without side effects
Nasonex,Allergies,Cleared my nasal congestion quickly without any drowsiness,cleared my nasal congestion quickly without any drowsiness
Nasonex,Allergies,Relieves allergy symptoms well though my nose feels dry sometimes,relieves allergy symptoms well though my nose feels dry sometimes
Neulasta,Chemotherapy Recovery,Improves recovery time significantly though its expensive,improves recovery time significantly though its expensive
Neurontin,Nerve Pain,Manages my nerve pain well though I feel sleepy in the afternoons,manages my nerve pain well though i feel sleepy in the afternoons
Neurontin,Nerve Pain,Relieves my pain effectively but I feel dizzy sometimes,relieves my pain effectively but i feel dizzy sometimes
Nexium,Acid Reflux,Helps with heartburn but sometimes causes mild bloating,helps with heartburn but sometimes causes mild bloating
Nexium,Acid Reflux,Quickly relieves heartburn though its a bit pricey without insurance,quickly relieves heartburn though its a bit pricey without insurance
Nexium,GERD,Effective for heartburn but I sometimes feel nauseous after taking it,effective for heartburn but i sometimes feel nauseous after taking it
Nexium,GERD,Relieves heartburn but I sometimes experience bloating,relieves heartburn but i sometimes experience bloating
Nexium,GERD,Relieves heartburn but I sometimes get bloating,relieves heartburn but i sometimes get bloating
Nexium,Acid Reflux,Relieves my acid reflux but I experienced some mild stomach discomfort initially,relieves my acid reflux but i experienced some mild stomach discomfort initially
Nexium,Acid Reflux,Very effective for heartburn relief but its a bit pricey without insurance,very effective for heartburn relief but its a bit pricey without insurance
Nexium,GERD,Works well for heartburn but it caused some mild stomach upset,works well for heartburn but it caused some mild stomach upset
Nexium,Acid Reflux,Completely relieved my symptoms no side effects noticed so far,completely relieved my symptoms no side effects noticed so far
Nexium,Acid Reflux,Reduces heartburn effectively though it took a few days to work,reduces heartburn effectively though it took a few days to work
Nexium,Acid Reflux,Excellent for managing heartburn but its expensive without insurance,excellent for managing heartburn but its expensive without insurance
Nexium,Acid Reflux,Greatly reduces my acid reflux but occasional headaches,greatly reduces my acid reflux but occasional headaches
Nicotine Patch,Smoking Cessation,Helps me quit smoking but makes my skin itch a little,helps me quit smoking but makes my skin itch a little
Nitrofurantoin,Urinary Tract Infection,Cleared my UTI quickly but caused some mild nausea,cleared my uti quickly but caused some mild nausea
Nitrofurantoin,UTIs,Cleared my UTI effectively but left mild nausea,cleared my uti effectively but left mild nausea
Nitroglycerin,Chest Pain,Relieves chest pain quickly but causes a headache afterward,relieves chest pain quickly but causes a headache afterward
Nitroglycerin,Chest Pain,Relieves chest pain but causes a headache afterward,relieves chest pain but causes a headache afterward
Nitroglycerin,Chest Pain,Helps with chest pain but I feel dizzy and lightheaded after taking it,helps with chest pain but i feel dizzy and lightheaded after taking it
Nortriptyline,Depression,Helps with depression but it sometimes makes me feel sleepy,helps with depression but it sometimes makes me feel sleepy
Norvasc,High Blood Pressure,Lowers my blood pressure effectively but I feel slight swelling in my ankles,lowers my blood pressure effectively but i feel slight swelling in my ankles
Norvasc,High Blood Pressure,Keeps my BP in check but I sometimes feel lightheaded,keeps my bp in check but i sometimes feel lightheaded
Norvasc,High Blood Pressure,Lowers BP effectively but I feel slight swelling in my ankles,lowers bp effectively but i feel slight swelling in my ankles
Norvasc,High Blood Pressure,Brought my blood pressure under control with no noticeable side effects,brought my blood pressure under control with no noticeable side effects
Norvasc,High Blood Pressure,Keeps my blood pressure under control but it causes mild swelling in my feet,keeps my blood pressure under control but it causes mild swelling in my feet
Norvasc,High Blood Pressure,Works well to lower my blood pressure though it makes my ankles swell a bit,works well to lower my blood pressure though it makes my ankles swell a bit
Novolog,Diabetes,Helps regulate my blood sugar but injections sting occasionally,helps regulate my blood sugar but injections sting occasionally
Nucala,Asthma,Very effective in controlling asthma though it caused some mild fever during the first dose,very effective in controlling asthma though it caused some mild fever during the first dose
Olanzapine,Bipolar Disorder,Stabilizes my mood but Ive gained weight,stabilizes my mood but ive gained weight
Olanzapine,Bipolar Disorder,Stabilized mood but caused weight gain,stabilized mood but caused weight gain
Olanzapine,Schizophrenia,Good for symptoms but Ive gained weight since starting it,good for symptoms but ive gained weight since starting it
Olanzapine,Schizophrenia,Helps control my symptoms but I gained weight and feel very drowsy,helps control my symptoms but i gained weight and feel very drowsy
Olmesartan,High Blood Pressure,Helps with blood pressure but sometimes causes dizziness,helps with blood pressure but sometimes causes dizziness
Olmesartan,Hypertension,Lowers my BP but it sometimes upsets my stomach,lowers my bp but it sometimes upsets my stomach
Omeprazole,Acid Reflux,Relieved my chronic heartburn within days Highly recommend,relieved my chronic heartburn within days highly recommend
Omeprazole,Acid Reflux,Works well for acid reflux but can cause bloating,works well for acid reflux but can cause bloating
Omeprazole,Acid Reflux,Effective for acid reflux but causes slight headaches,effective for acid reflux but causes slight headaches
Omeprazole,Acid Reflux,Helps with acid reflux but sometimes gives me a headache,helps with acid reflux but sometimes gives me a headache
Omeprazole,GERD,Helps with heartburn but it can cause some stomach discomfort,helps with heartburn but it can cause some stomach discomfort
Omeprazole,Acid Reflux,Effective for reflux but I sometimes feel a bit nauseous,effective for reflux but i sometimes feel a bit nauseous
Omeprazole,Acid Reflux,Works well for acid reflux but gives mild nausea,works well for acid reflux but gives mild nausea
Omeprazole,Acid Reflux,Relieves heartburn but sometimes gives me a headache,relieves heartburn but sometimes gives me a headache
Omeprazole,GERD,Relieves my acid reflux but Ive experienced headaches,relieves my acid reflux but ive experienced headaches
Omeprazole,Acid Reflux,Relieves my symptoms but I experience bloating sometimes,relieves my symptoms but i experience bloating sometimes
Omeprazole,GERD,Works well for acid reflux but it causes a bit of bloating,works well for acid reflux but it causes a bit of bloating
Omeprazole,Acid Reflux,Keeps my acid reflux in check but I sometimes have mild headaches,keeps my acid reflux in check but i sometimes have mild headaches
Omeprazole,Acid Reflux,Helps with acid reflux but gives me some bloating,helps with acid reflux but gives me some bloating
Omeprazole,Acid Reflux,Great for heartburn relief but causes bloating and discomfort,great for heartburn relief but causes bloating and discomfort
Omeprazole,GERD,Great for controlling GERD symptoms but I feel a little bloated,great for controlling gerd symptoms but i feel a little bloated
Omeprazole,GERD,Helps with acid reflux but it sometimes gives me headaches,helps with acid reflux but it sometimes gives me headaches
Omeprazole,Acid Reflux,Helps with acid reflux but I sometimes feel bloated,helps with acid reflux but i sometimes feel bloated
Omeprazole,Acid Reflux,Works well for heartburn but sometimes gives me bloating,works well for heartburn but sometimes gives me bloating
Omeprazole,Acid Reflux,Helps with acid reflux but gives me a headache occasionally,helps with acid reflux but gives me a headache occasionally
Omeprazole,Acid Reflux,Good for acid reflux but causes some bloating,good for acid reflux but causes some bloating
Omeprazole,GERD,Relieves heartburn but sometimes causes mild headaches,relieves heartburn but sometimes causes mild headaches
Omeprazole,GERD,Relieves my acid reflux effectively but I need to take it daily for consistent results,relieves my acid reflux effectively but i need to take it daily for consistent results
Omeprazole,Acid Reflux,Works great for heartburn but longterm use concerns me,works great for heartburn but longterm use concerns me
Omeprazole,Acid Reflux,Relieves my heartburn but causes some bloating and discomfort,relieves my heartburn but causes some bloating and discomfort
Ondansetron,Nausea,Works great for nausea but can cause headaches,works great for nausea but can cause headaches
Ondansetron,Nausea,Stops nausea quickly but causes constipation sometimes,stops nausea quickly but causes constipation sometimes
Ondansetron,Nausea,Stops my nausea quickly but makes me feel drowsy,stops my nausea quickly but makes me feel drowsy
Ondansetron,Nausea,Stops my nausea quickly but it can cause constipation,stops my nausea quickly but it can cause constipation
Ondansetron,Nausea and Vomiting,Very effective for nausea but gives me a mild headache,very effective for nausea but gives me a mild headache
Onglyza,Diabetes,Effective for managing blood sugar but my appetite increased,effective for managing blood sugar but my appetite increased
Onglyza,Diabetes,Manages blood sugar well though I feel a bit tired sometimes,manages blood sugar well though i feel a bit tired sometimes
Opdivo,Cancer (Various),Effective for cancer treatment though it caused mild fatigue and nausea,effective for cancer treatment though it caused mild fatigue and nausea
Otezla,Psoriasis,Reduced my skin flareups significantly but its quite expensive,reduced my skin flareups significantly but its quite expensive
Otezla,Psoriasis,Helps control my flareups but I had some initial headaches,helps control my flareups but i had some initial headaches
Oxcarbazepine,Seizures,Controls my seizures well but I feel tired sometimes,controls my seizures well but i feel tired sometimes
OxyContin,Pain Relief,Works for pain relief but can cause constipation,works for pain relief but can cause constipation
Oxybutynin,Overactive Bladder,It has helped with bladder control but causes some dry mouth and constipation,it has helped with bladder control but causes some dry mouth and constipation
Oxybutynin,Overactive Bladder,Good for controlling bladder issues but causes dry mouth,good for controlling bladder issues but causes dry mouth
Oxybutynin,Overactive Bladder,Helps with bladder control but causes dry mouth and constipation,helps with bladder control but causes dry mouth and constipation
Oxybutynin,Overactive Bladder,Helps with bladder control but causes dry mouth,helps with bladder control but causes dry mouth
Oxybutynin,Bladder Issues,Helps with bladder problems but I feel drymouthed and a bit confused at times,helps with bladder problems but i feel drymouthed and a bit confused at times
Oxybutynin,Overactive Bladder,Helps control my bladder but my mouth feels dry,helps control my bladder but my mouth feels dry
Oxycodone,Pain Relief,Helps with pain but the side effects include constipation,helps with pain but the side effects include constipation
Oxycodone,Pain,Effective for severe pain but it causes constipation and fatigue,effective for severe pain but it causes constipation and fatigue
Oxycodone,Pain Relief,Works great for pain but it can cause drowsiness,works great for pain but it can cause drowsiness
Oxycodone,Pain Relief,Effective for pain relief but makes me feel very tired and constipated,effective for pain relief but makes me feel very tired and constipated
Oxycodone,Chronic Pain,Very effective for pain relief but can cause constipation and drowsiness,very effective for pain relief but can cause constipation and drowsiness
Oxycodone,Pain Relief,Very effective for pain but makes me feel very drowsy and affects my mood,very effective for pain but makes me feel very drowsy and affects my mood
Oxycodone,Pain,Great for pain relief but can be quite addictive,great for pain relief but can be quite addictive
Oxycodone,Pain Relief,Effective for pain relief but can make me feel drowsy and constipated,effective for pain relief but can make me feel drowsy and constipated
Ozempic,Type 2 Diabetes,Helped manage my sugar levels and reduced my weight Minimal side effects,helped manage my sugar levels and reduced my weight minimal side effects
Pantoprazole,GERD,Stops my acid reflux but I feel bloated sometimes,stops my acid reflux but i feel bloated sometimes
Pantoprazole,Acid Reflux,Great for acid reflux but gives me occasional headaches,great for acid reflux but gives me occasional headaches
Paroxetine,Anxiety,Helps with my anxiety but initially caused some sleep disturbances and dizziness,helps with my anxiety but initially caused some sleep disturbances and dizziness
Paroxetine,Anxiety,Great for my anxiety but I have vivid dreams,great for my anxiety but i have vivid dreams
Paroxetine,Depression/Anxiety,Great for my mood but I sweat more than usual,great for my mood but i sweat more than usual
Paroxetine,Anxiety/Depression,Helps with both anxiety and depression but causes weight gain,helps with both anxiety and depression but causes weight gain
Paroxetine,Anxiety,Helps manage anxiety but leaves me feeling tired and a bit foggy,helps manage anxiety but leaves me feeling tired and a bit foggy
Paroxetine,Anxiety,Reduces my anxiety but gives me night sweats,reduces my anxiety but gives me night sweats
Paxil,Depression,Balances mood effectively but it caused mild weight gain,balances mood effectively but it caused mild weight gain
Paxil,Anxiety,Helped calm my anxiety though I gained some weight while on it,helped calm my anxiety though i gained some weight while on it
Paxil,Depression,Helps with my depression but I feel a little drowsy sometimes,helps with my depression but i feel a little drowsy sometimes
Percocet,Pain Relief,Effective for pain but can be addictive and leaves me feeling groggy,effective for pain but can be addictive and leaves me feeling groggy
Percocet,Pain Relief,Helps with pain but can be addictive and causes drowsiness,helps with pain but can be addictive and causes drowsiness
Pioglitazone,Type 2 Diabetes,Controls my sugar levels well but I gained weight,controls my sugar levels well but i gained weight
Plaquenil,Lupus,Works well for lupus but I had some side effects like headaches and nausea,works well for lupus but i had some side effects like headaches and nausea
Plaquenil,Lupus,Eases my lupus symptoms significantly but I need regular eye exams,eases my lupus symptoms significantly but i need regular eye exams
Plaquenil,Lupus,Keeps my lupus symptoms in check but I need regular eye checkups,keeps my lupus symptoms in check but i need regular eye checkups
Plavix,Blood Thinner,Prevents clots effectively but I need to monitor for bruises,prevents clots effectively but i need to monitor for bruises
Plavix,Stroke Prevention,Effective for preventing strokes but I occasionally experience minor bruising,effective for preventing strokes but i occasionally experience minor bruising
Plavix,Heart Attack,Helps prevent clots effectively though I notice frequent bruising,helps prevent clots effectively though i notice frequent bruising
Plavix,Blood Clots,Prevented clotting issues but I experienced minor bruising easily,prevented clotting issues but i experienced minor bruising easily
Plavix,Blood Clot Prevention,Prevents blood clots effectively but I experienced some mild bruising,prevents blood clots effectively but i experienced some mild bruising
Plavix,Blood Clot Prevention,Prevents clots effectively though I need regular blood tests,prevents clots effectively though i need regular blood tests
Plavix,Blood Clots,Effective for preventing clots but I experience some bruising,effective for preventing clots but i experience some bruising
Pomalyst,Cancer (Multiple Myeloma),Effective for treating myeloma but causes some tiredness and low blood cell counts,effective for treating myeloma but causes some tiredness and low blood cell counts
Pravachol,High Cholesterol,Helps lower cholesterol but I sometimes experience joint pain,helps lower cholesterol but i sometimes experience joint pain
Pravastatin,High Cholesterol,Lowers cholesterol but Ive had some muscle aches,lowers cholesterol but ive had some muscle aches
Pravastatin,High Cholesterol,Lowers cholesterol well but causes muscle pain and fatigue,lowers cholesterol well but causes muscle pain and fatigue
Pravastatin,High Cholesterol,Lowers my cholesterol effectively but I get occasional muscle pain,lowers my cholesterol effectively but i get occasional muscle pain
Pravastatin,High Cholesterol,Lowers cholesterol but gives me headaches,lowers cholesterol but gives me headaches
Prazosin,PTSD/Hypertension,Helps with my PTSD symptoms but it sometimes causes dizziness,helps with my ptsd symptoms but it sometimes causes dizziness
Prazosin,PTSD,Helps with nightmares but can cause dizziness upon waking,helps with nightmares but can cause dizziness upon waking
Prazosin,High Blood Pressure,Helps lower my blood pressure but can cause dizziness when standing up,helps lower my blood pressure but can cause dizziness when standing up
Prednisolone,Inflammation,Effective for inflammation but it caused some weight gain,effective for inflammation but it caused some weight gain
Prednisolone,Inflammation,Reduces inflammation effectively but I experience mood swings,reduces inflammation effectively but i experience mood swings
Prednisolone,Inflammation,Works well for inflammation but causes increased appetite,works well for inflammation but causes increased appetite
Prednisolone,Inflammation,It helps reduce inflammation but causes some weight gain and mood swings,it helps reduce inflammation but causes some weight gain and mood swings
Prednisolone,Inflammation,Works great for inflammation but causes mood swings and increased appetite,works great for inflammation but causes mood swings and increased appetite
Prednisone,Inflammation,Reduces my inflammation quickly but Ive gained some weight,reduces my inflammation quickly but ive gained some weight
Prednisone,Autoimmune Disorders,Reduces inflammation quickly but I gain weight easily,reduces inflammation quickly but i gain weight easily
Prednisone,Inflammation,Reduces inflammation well but causes some bloating,reduces inflammation well but causes some bloating
Prednisone,Inflammation,Reduces inflammation effectively but I experience some mood swings,reduces inflammation effectively but i experience some mood swings
Prednisone,Inflammation,Helps with inflammation but makes me feel bloated and moody,helps with inflammation but makes me feel bloated and moody
Prednisone,Inflammation,Helps reduce inflammation but it causes me to feel moody and have increased appetite,helps reduce inflammation but it causes me to feel moody and have increased appetite
Prednisone,Inflammation,Reduces inflammation quickly but I experience insomnia,reduces inflammation quickly but i experience insomnia
Prednisone,Inflammation,Works well for inflammation but makes me feel irritable,works well for inflammation but makes me feel irritable
Prednisone,Asthma,Helps with asthma but causes a lot of mood swings and hunger,helps with asthma but causes a lot of mood swings and hunger
Prednisone,Inflammation,Works well for inflammation but I get some mood swings,works well for inflammation but i get some mood swings
Prednisone,Inflammation,Reduces inflammation effectively but causes some mood swings and weight gain,reduces inflammation effectively but causes some mood swings and weight gain
Prednisone,Inflammation,Works well for inflammation but I experienced weight gain and mood swings,works well for inflammation but i experienced weight gain and mood swings
Prednisone,Inflammation,Helps with inflammation but it makes me feel moody and bloated,helps with inflammation but it makes me feel moody and bloated
Prednisone,Inflammation,Effective for inflammation but makes me feel bloated,effective for inflammation but makes me feel bloated
Prednisone,Allergies,Very effective for allergies but causes weight gain and irritability,very effective for allergies but causes weight gain and irritability
Prednisone,Inflammation,Works well for inflammation but causes mood swings,works well for inflammation but causes mood swings
Prednisone,Inflammation,Works well for inflammation but I feel anxious and irritable,works well for inflammation but i feel anxious and irritable
Prednisone,Inflammation,Works fast to reduce swelling but I noticed an increase in appetite,works fast to reduce swelling but i noticed an increase in appetite
Prednisone,Inflammation,Works well for inflammation but it gives me some mood swings,works well for inflammation but it gives me some mood swings
Prednisone,Inflammation,Reduces inflammation well but I feel a little moody afterward,reduces inflammation well but i feel a little moody afterward
Prednisone,Inflammation,Effective for inflammation but causes water retention,effective for inflammation but causes water retention
Prednisone,Inflammation/Allergy,Good for inflammation but gives me bad insomnia,good for inflammation but gives me bad insomnia
